计息,利息计算公式
OMG,OMG电子竞技俱乐部
翁,翁姓
VB,Visual Basic
永恒,不死法医
新安,新安县
猎人,全职猎人
阴,阴姓
幸运儿,幸运符
上海市,上海
小星星,徐娇
玛丽,布鲁·玛丽
温,温姓
烟花,升起的烟花，从下面看？还是从侧面看？
末日,毁灭日
甘肃省,甘肃
人民法院,中华人民共和国人民法院
虾米,虾米网
韩剧,韩国电视剧
宁,南京
oK,创可贴
大闸蟹,中华绒螯蟹
卓,卓姓
牙疼,牙痛
启,姒启
肾亏,肾虚
211,211工程
cli,命令行界面
黑人,陈建州
韩,韩国
科比,科比·布莱恩特
权志龙,G-DRAGON
济南市,济南
西游,西游·降魔篇
俞,俞姓
江门市,江门
梅花,梅
GM,通用汽车公司
安徽省,安徽
金饰,北齐金饰
娄,娄姓
翅膀,隐形的翅膀
小威,塞雷娜·威廉姆斯
索,索姓
雨来,雨来没有死
桂,广西
伊,伊尹
狗头,沙漠死神
盛大,上海盛大网络发展有限公司
珠海市,珠海
福田,福田区
020,O2O
刑拘,刑事拘留
毛主席,毛泽东
小金,小金县
VC,维生素c
丫头,詹子晴
欧诺,长安欧诺
德州市,德州
cc,张柏芝
世界杯,国际足联世界杯
重庆市,重庆
石昊,荒天帝
it,个人所得税
东湖,武汉东湖风景区
农达,萨巴尼·农达
客都,世界客都
符,符箓
无为,无为县
建华,建华区
π,圆周率
谭,谭姓
zZ,宇智波佐助
余姚市,余姚
汪汪,汪逸甯
马尾,马尾区
天龙,AWM-天龙
lz,龙珠战队
biz,biz域名
dmi,DMI指标
妇女节,国际劳动妇女节
紫外线,致命紫罗兰
糖糖,砂糖
爷们,爷们儿
JS,javascript
红十字会,红十字国际委员会
ef,英孚教育
泄,姒泄
巨魔,魔发精灵
WIFI,Wi-Fi
苏苏,百里屠苏
5.12,5·12汶川地震
老赖,失信被执行人
夕,年兽
曹雨生,段徳
山东省,山东
XP,Windows XP
燕,燕国
加利,布特罗斯·布特罗斯-加利
提摩西,提木西草
娃哈哈,杭州娃哈哈集团有限公司
信审,信用审计
4.14,4·14
iu,李知恩
No,一氧化氮
茄子,茄
例假,月经
丹丹,丹迪
全网,中国全网
email,电子邮件
光荣,光荣株式会社
工服,工作服
吉,吉林
六合,六合区
小天鹅,无锡小天鹅股份有限公司
四级,大学英语四级考试
dB,数据库
如家,如家酒店
当机,宕机
八戒,猪八戒
躲避,隐藏摄像机
海贼王,航海王
人流,人工流产
SJ,Super Junior
手淫,自慰
华西,华西村
PS,Adobe Photoshop
sha,SHA家族
多利,X·德雷克
自卑,自卑感
女排,女子排球
CD,克罗恩病
key,key社
模,范数
报应,迷途追凶
in,铟
汕头市,汕头
披萨,比萨
考研,全国硕士研究生统一招生考试
X5,宝马X5
哈利,哈利·波特
搜噶,Soga
微盘,新浪微盘
m3,梦三国
勇士,金州勇士队
内蒙古自治区,内蒙古
ppt,Microsoft Office PowerPoint
假牙,义齿
卡恩,宿命者·卡恩
银号,钱庄
癌,癌症
老爹,爱德华·纽盖特
通辽市,通辽
武汉市,武汉
持有人,权利人
武,武姓
性饥渴,性压抑
中国电信,中国电信集团有限公司
内存卡,存储卡
一帆风顺,白鹤芋
外贸,对外贸易
网易,网易公司
仙居,仙居县
木木,王宝强
东莞市,东莞
包青天,包拯
二本,普通高等学校招生全国统一考试招生录取批次
恒大,广州恒大淘宝足球俱乐部
751,751D·PARK北京时尚设计广场
CBD,中央商务区
卡巴,哈吉·艾哈迈德·泰詹·卡巴
乔,乔姓
UD,特拉华大学
小胖,钱志君
pc,个人计算机
二三,金田一二三
be,铍
央视,中国中央电视台
袁,袁姓
姚,姚姓
萍,浮萍
MC,镆
A4,奥迪A4
著,国风·齐风·著
联众,北京联众互动网络股份有限公司
提莫,迅捷斥候
危,危姓
ti,DOTA2国际邀请赛
邹,邹姓
坎,埃姆雷·坎
大巴,蒙克·巴特尔
国民党,中国国民党
DB,数据库
太原市,太原
抚顺市,抚顺
长途车,长途汽车
鸡头,崆峒山
耳屎,耵聍
跑跑,跑跑卡丁车
TT,Tizzy T
武士,勇士
尿床,遗尿症
小黑,柯受良
赣,江西
王氏,王姓
TUT,太原理工大学
轮回,诛仙第二部
福大,福州大学
B2,B-2轰炸机
人大,中国人民大学
try,T.R.Y
回坊,回民街
萨芬,马拉特·萨芬
黑卡,美国运通百夫长黑金卡
502,502胶水
考拉,树袋熊
番禺,番禺区
有客,周颂·有客
秦氏,秦姓
元素,化学元素
星空,星月夜
乘客,太空旅客
猴币,2016年贺岁普通纪念币
布偶,布偶大电影
环钱,圜钱
尚,尚姓
移动电话,手机
大话,大话西游Ⅱ
nm,内蒙古
太古,太谷县
江,江姓
颜,颜姓
北大,北京大学
Qb,Q币
同人,同人卦
汉,武汉
IQ,智商
无线网,无线网络
贺,贺姓
三大,中国共产党第三次全国代表大会
本经,神农本草经
霸道,普拉多
史,史姓
三生,三生（中国）健康产业有限公司
武警,中国人民武装警察部队
痘痘,痤疮
微整,微整形
易方达,易方达龙宝货币市场基金
天赋,天才少女
地狱,但丁密码
揭阳市,揭阳
联通公司,中国联合网络通信集团有限公司
邱,邱姓
长沙市,长沙
高校,高等学校
石阡,石阡县
网红,网络红人
孔,孔姓
步步,滨崎步
单机,单机游戏
月均,月平均
射手,射手座
将军,将·军
天河,天河区
潘,潘姓
÷,除号
旅程,旅程：布莱尔回忆录
康,康姓
闫,闫姓
怪兽,温尚翊
rtx,RTX腾讯通
东区,东区街道
斗牛,斗牛犬
一个男孩,单亲插班生
仇,仇姓
寒,蔡芷纭
南门,南门姓
发芽,sprout
ì,电流
韦德,德怀恩·韦德
北戴河,北戴河区
747,波音747
可卡,可卡犬
鹿,鹿科
及时雨,宋江
民警,人民警察
辽宁沈阳,沈阳
鳄,鳄鱼
挖币,比特币挖矿机
619,雷·密斯特里奥
八路,八路军
碧桂园,碧桂园集团
阿达,阿达·洛芙莱斯
四方,四方区
代后,兹伏奇·大吾
三无,三无少女
管委会,管理委员会
洛克,洛克·霍华德
MP5,MP5冲锋枪
林肯,亚伯拉罕·林肯
脸书,Facebook
PPT,Microsoft Office PowerPoint
阿兰,阿兰·达瓦卓玛
沃,伊夫林·沃
梁,梁姓
悟空,西游记之大圣归来
白虎,薛仁贵
鄞州,鄞州区
不朽,不朽大师
吊丝,屌丝
Sb,锑
疾风,月光疾风
广西南宁,南宁
边缘,势不两立
政协,中国人民政治协商会议
新兴,新兴县
西北地区,中国西北地区
赣州市,赣州
豆瓣,豆瓣网
超大,超级大本营
叮当,谢昀杉
劫,影流之主
西门,西门姓
郑州市,郑州
肥胖,单纯性肥胖
柳,柳姓
西南,西南地区
海宽,海宽禅师
婆婆妈妈,当婆婆遇上妈
tenpay,财付通
比登,约翰·比登
喉咙痛,咽喉痛
泡面,方便面
张家口市,张家口
生殖器官,生殖器
二战,第二次世界大战
华府,华盛顿哥伦比亚特区
乳交,半身性交
艺龙,艺龙旅行网
赵晶,赵彦乔
a4,奥迪A4
岳,岳：冰峰救援
晕车,晕动病
阳历,太阳历
贷资,资贷
dnf,地下城与勇士
詹,埃姆雷·坎
台币,旧台币
施,施姓
青田,青田县
蓉,成都
瑶瑶,郭书瑶
三八节,国际劳动妇女节
芊芊,卢小娟
UK,英国
甘肃兰州,兰州
大哥大,洪金宝
公文,公务文书
串口,串行接口
农信社,农村信用合作社
赛罗,赛罗·奥特曼
帮贷,贷帮网
甜心,李欣汝
凯撒,盖乌斯·尤利乌斯·恺撒
zn,锌
血癌,白血病
日向,日向一族
石化,石油化学工业
白牙,旗木佐云
闪光,猎空
星际,星际争霸
饮酒,饮酒二十首
青海省,青海
WC,碳化钨
平定,平定县
朵朵,罗梓琳
人生大事,错爱3
兰西,兰西县
故宫,北京故宫
康师傅,康师傅控股有限公司
PP,聚丙烯
库珀,布莱德利·库珀
中国政府,中华人民共和国中央人民政府
大宝,北京大宝化妆品有限公司
宝安,宝安区
麦德龙,麦德龙超市
清华,清华大学
白马,卡文迪许
本加,亚历山大·本加
pvc,聚氯乙烯
山水,叶千华
taobao,淘宝网
比尔盖茨,比尔·盖茨
宋,宋朝
欧阳,欧阳姓
滕,滕姓
甄,甄姓
XXX,极限特工
晏,晏婴
阿三,印度阿三
苟利国家生死以,苟利国家生死以，岂因祸福避趋之
娜娜,林珍娜
校内,人人网
小暴龙,宝宝暴龙
赶集,赶集网
代理人,亲密治疗
密密,陈密
太平洋保险,中国太平洋保险（集团）股份有限公司
乔布斯,史蒂夫·乔布斯
NB,New Balance
惠民,惠民县
黄怡,海清
子乔,姬晋
WPS,WPS OFFICE
鬼魂,闪灵侠
Iphone7,iPhone 7
澎湃,彭湃
大好河山,大境门
元芳,李元芳
摩卡,摩卡咖啡
冰激凌,冰淇淋
哈林,庾澄庆
C4,C4塑胶炸药
殷,商朝
艾薇儿,艾薇儿·拉维尼
毒药,李颖
哈佛,哈佛大学
co,钴
肥肥,沈殿霞
郑,郑姓
厦门市,厦门
itsm,it服务管理
钟亮,钟久夫
小月,杜小月
赤峰市,赤峰
游览器,浏览器
复旦,复旦大学
剑圣,裴旻
当当,当当网
犬,狗
建平,建平县
可成,可成科技股份有限公司
二炮,中国人民解放军火箭军
大刀,关胜
遗传,遗传算法
丰,国风·郑风·丰
憨豆,憨豆先生
恩施,恩施土家族苗族自治州
巴哈,约翰·塞巴斯蒂安·巴赫
第七期,第七阶
十大,中国共产党第十次全国代表大会
小红,林红玉
nb,New Balance
应用程序,应用程式
石岐区,石岐街道
绝地,绝地武士团
国标,国家标准
板面,太和板面
电视电话,可视电话
卡多,阿纳贝尔·卡多
肥皂,约翰·麦克塔维什
中方,中方县
荼靡,荼蘼
科举,科举制度
亚东,亚东县
海内,海内网
亚克,亚克·海灵顿
大礼,南诏
龙岩市,龙岩
日币,日本货币
大S,徐熙媛
云龙,云龙区
奥斯卡,奥斯卡金像奖
TF,风暴战区
景区,旅游景区
中考,初中学业水平考试
4.19,4.19运动
新蛋,新蛋网
注册码,计算机软件注册码
铜川市,铜川
喜悦,洪成美
利高,利库姆
ww,疾风步
918,九·一八事变
玉皇,玉皇大帝
沙井,沙井街道
真善美,音乐之声
kg,凯文·加内特
福建厦门,厦门
3.14,圆周率
骡子,骡
克里克,克利克
欣然,刘欣然
哈尼,哈尼族
海南省,海南
ceo,首席执行官
bbox,beatbox
jk,J.K.罗琳
光谷,武汉东湖新技术产业开发区
xxx,极限特工
亓,亓姓
哈尔滨市,哈尔滨
po,钋
武大,武汉大学
MIUI7,MIUI 7
